acctnum,gender,state,zip,zip3,first,last,book_,nonbook_,total_,purch,child,youth,cook,do_it,reference,art,geog,buyer
10044,F,NY,14004,140,37,13,101,37,138,9,1,1,3,2,0,1,1,no
10045,F,NY,12438,124,33,33,15,37,52,1,0,0,1,0,0,0,0,no
10046,F,NH,03840,038,55,21,78,60,138,7,2,1,2,0,1,0,1,no
10047,F,NY,12866,128,1,1,15,213,228,1,0,1,0,0,0,0,0,no
10048,M,MA,02194,021,83,29,126,321,447,11,3,0,2,2,0,3,1,no
10049,F,CT,06033,060,19,11,26,122,148,2,1,0,0,1,0,0,0,no
10050,F,MD,21209,212,31,13,46,295,341,4,1,2,0,0,0,0,1,no
10051,F,NY,11530,115,9,9,15,242,257,1,0,0,1,0,0,0,0,no
10052,F,NY,10471,104,23,21,23,79,102,2,2,0,0,0,0,0,0,no
10053,M,NY,11762,117,45,13,63,135,198,6,2,1,2,1,0,0,0,no
10054,F,NJ,07481,074,19,17,27,237,264,2,0,0,1,0,1,0,0,no
10055,F,NY,14217,142,77,5,137,49,186,12,2,1,3,0,1,1,4,yes
10056,M,NY,10308,103,49,9,89,56,145,8,1,1,4,0,0,1,1,no
10057,F,CT,06320,063,5,5,15,196,211,1,0,0,1,0,0,0,0,no
10058,M,MA,02324,023,31,3,59,230,289,5,1,1,1,1,0,0,1,no
10059,F,NJ,07044,070,9,5,29,68,97,2,0,0,1,0,0,0,1,no
10060,F,NJ,08701,087,11,5,25,120,145,2,1,0,1,0,0,0,0,no
10061,F,PA,19464,194,15,15,15,175,190,1,0,0,0,0,0,0,1,no
10062,F,NY,11788,117,13,13,15,239,254,1,0,0,0,0,0,1,0,no
10063,M,CT,06810,068,43,13,67,118,185,6,1,0,3,1,0,1,0,no
10064,F,PA,19146,191,5,1,29,114,143,2,0,1,0,0,0,0,1,no
10065,M,DE,19901,199,13,9,29,153,182,2,1,0,0,0,0,0,1,no
10066,M,NJ,07746,077,17,7,39,84,123,3,0,0,1,0,0,0,2,no
10067,F,NY,14207,142,11,11,15,175,190,1,0,0,0,0,0,1,0,no
10068,M,NJ,07506,075,63,9,128,123,251,12,4,2,1,2,1,1,1,no
10069,M,NJ,07006,070,67,27,117,204,321,10,3,0,1,2,0,2,2,no
10070,F,MA,02110,021,5,5,15,246,261,1,1,0,0,0,0,0,0,no
10071,F,CT,06010,060,13,13,15,240,255,1,0,1,0,0,0,0,0,no
10072,F,PA,18212,182,29,13,45,291,336,4,1,2,0,0,0,1,0,no
10073,M,PA,19111,191,41,15,61,119,180,5,2,0,0,1,0,1,1,yes
10074,F,NJ,08030,080,65,13,119,276,395,11,4,2,2,0,0,0,3,no
10075,M,RI,02906,029,39,13,76,172,248,7,1,0,4,1,1,0,0,no
10076,F,NY,11370,113,31,13,50,23,73,4,2,0,0,0,0,1,1,no
10077,M,NJ,07726,077,25,13,56,178,234,5,1,0,1,2,1,0,0,no
10078,F,NY,10308,103,9,9,15,269,284,1,0,1,0,0,0,0,0,no
10079,F,DE,19703,197,13,13,15,172,187,1,1,0,0,0,0,0,0,no
10080,F,NJ,08619,086,63,31,118,280,398,11,7,1,0,0,1,1,1,no
10081,F,PA,17868,178,9,9,15,237,252,1,0,0,0,0,0,1,0,no
10082,F,CT,06492,064,13,13,15,186,201,1,0,0,0,1,0,0,0,no
10083,F,NJ,08520,085,53,7,98,54,152,8,1,0,1,0,2,4,0,yes
10084,F,MA,02176,021,17,15,28,157,185,2,0,0,0,1,0,1,0,no
10085,F,NY,11733,117,13,13,15,259,274,1,0,0,1,0,0,0,0,no
10086,F,NY,11030,110,11,11,15,36,51,1,0,0,0,1,0,0,0,no
10087,M,MA,02050,020,15,15,15,55,70,1,0,0,0,0,1,0,0,no
10088,F,PA,15644,156,25,25,15,157,172,1,0,0,1,0,0,0,0,no
10089,F,PA,15202,152,37,1,82,266,348,7,1,1,2,0,1,0,2,no
10090,F,NY,10465,104,19,5,38,202,240,3,0,1,1,0,0,0,1,no
10091,M,NY,11201,112,35,9,140,57,197,12,3,0,4,2,2,1,0,no
10092,F,MA,02121,021,37,3,139,297,436,12,2,0,3,2,1,2,2,yes
10093,M,NJ,08086,080,41,33,27,148,175,2,0,0,0,0,2,0,0,no
10094,M,NJ,08520,085,15,11,29,98,127,2,0,1,0,0,0,0,1,no
10095,M,NJ,07054,070,19,1,49,226,275,4,0,0,2,1,0,1,0,no
10096,M,NY,10923,109,27,19,29,210,239,2,0,0,1,0,0,0,1,no
10097,F,NY,12601,126,19,13,25,238,263,2,1,0,1,0,0,0,0,no
10098,F,NJ,08520,085,25,11,47,25,72,4,1,1,1,0,0,0,1,no
10099,F,NY,10010,100,19,11,28,246,274,2,1,0,0,0,0,1,0,no
10100,M,NY,11743,117,17,1,39,281,320,3,0,0,0,1,0,2,0,yes
10101,F,NY,11224,112,35,33,29,168,197,2,0,0,0,0,0,0,2,no
10102,F,NY,13413,134,9,3,26,274,300,2,0,0,1,1,0,0,0,no
10103,F,NY,10566,105,3,3,15,253,268,1,0,0,0,0,0,0,1,yes
10104,M,PA,17201,172,1,1,15,74,89,1,0,0,0,0,0,0,1,no
10105,F,MD,21001,210,19,13,25,82,107,2,1,0,1,0,0,0,0,no
10106,M,MD,20748,207,37,33,24,229,253,2,1,1,0,0,0,0,0,no
10107,M,PA,17013,170,13,13,15,47,62,1,0,0,0,1,0,0,0,no
10108,M,PA,19085,190,23,7,80,171,251,7,3,0,1,0,1,1,1,no
10109,F,MD,21209,212,59,25,79,260,339,7,1,0,3,1,1,1,0,no
10110,M,MA,02673,026,35,11,132,150,282,12,3,2,1,2,2,1,1,no
10111,F,CT,06282,062,47,13,81,159,240,7,2,0,1,0,1,0,3,no
10112,F,MA,01826,018,13,13,15,120,135,1,1,0,0,0,0,0,0,no
10113,F,MA,01238,012,9,9,15,67,82,1,0,0,0,0,0,0,1,no
10114,F,NY,10475,104,37,23,66,92,158,5,0,0,1,0,0,2,2,no
10115,F,NJ,07646,076,13,13,15,34,49,1,1,0,0,0,0,0,0,no
10116,F,ME,04444,044,9,3,25,188,213,2,1,0,1,0,0,0,0,no
10117,M,NJ,08210,082,59,7,142,223,365,11,3,0,0,0,1,1,6,yes
10118,F,NY,11561,115,13,13,15,233,248,1,0,1,0,0,0,0,0,no
10119,F,NJ,07840,078,9,1,25,159,184,2,1,0,1,0,0,0,0,no
10120,F,NY,11787,117,19,9,54,199,253,4,1,0,0,0,1,1,1,yes
10121,F,PA,19144,191,57,13,104,152,256,9,2,0,3,0,1,1,2,no
10122,M,MA,01970,019,13,9,27,78,105,2,0,0,0,0,2,0,0,no
10123,F,NY,11230,112,19,19,15,98,113,1,1,0,0,0,0,0,0,no
10124,M,NJ,08848,088,53,15,125,207,332,11,2,0,4,2,2,1,0,no
10125,F,MD,20715,207,27,13,65,161,226,6,2,1,2,0,0,1,0,no
10126,F,NY,10956,109,21,21,15,66,81,1,0,0,1,0,0,0,0,no
10127,M,NY,13820,138,37,9,120,210,330,10,0,0,5,2,1,2,0,no
10128,F,MA,02043,020,15,15,15,103,118,1,0,1,0,0,0,0,0,no
10129,F,NJ,07001,070,21,7,33,280,313,3,1,0,1,0,0,0,1,no
10130,F,NY,11219,112,33,27,26,289,315,2,0,0,1,1,0,0,0,no
10131,F,NY,11040,110,21,13,27,299,326,2,0,1,0,0,1,0,0,no
10132,M,MD,21209,212,37,13,56,33,89,5,1,0,1,2,1,0,0,no
10133,F,NY,10002,100,65,27,127,203,330,11,0,3,4,1,2,0,1,no
10134,F,PA,19063,190,29,29,15,240,255,1,0,0,1,0,0,0,0,no
10135,F,NY,11742,117,13,13,15,160,175,1,0,0,0,0,1,0,0,no
10136,F,NY,11967,119,61,1,134,64,198,12,2,3,2,1,0,2,2,yes
10137,M,DE,19808,198,11,5,24,256,280,2,0,2,0,0,0,0,0,yes
10138,F,NY,10605,106,55,27,85,209,294,7,1,0,2,1,0,1,2,no
10139,F,NJ,07950,079,19,11,32,217,249,3,1,1,0,1,0,0,0,no
10140,M,PA,19154,191,11,7,29,8,37,2,0,0,1,0,0,0,1,no
10141,M,NY,11358,113,27,19,25,264,289,2,0,1,1,0,0,0,0,no
10142,F,NY,14895,148,29,29,15,56,71,1,0,0,1,0,0,0,0,no
10143,F,NY,11942,119,27,11,37,55,92,3,0,0,2,0,1,0,0,no
10144,M,PA,17602,176,19,11,25,19,44,2,0,0,2,0,0,0,0,no
10145,F,NY,14170,141,49,11,134,259,393,11,3,0,3,0,0,2,3,yes
10146,F,MD,20906,209,5,5,15,196,211,1,0,0,0,0,0,1,0,no
10147,F,NY,10509,105,27,27,15,25,40,1,0,0,0,0,0,0,1,no
10148,F,MA,01451,014,29,23,29,189,218,2,0,0,1,0,0,0,1,no
10149,F,NJ,07758,077,19,15,27,143,170,2,0,0,0,1,1,0,0,no
10150,F,PA,17033,170,37,9,76,62,138,7,2,3,0,0,0,1,1,yes
10151,F,NJ,08043,080,57,15,102,160,262,9,5,0,2,0,0,0,2,no
10152,F,NY,12203,122,31,1,114,86,200,10,2,1,4,0,1,1,1,no
10153,F,MA,02673,026,23,5,36,218,254,3,0,0,1,1,0,1,0,no
10154,M,NY,11224,112,21,17,29,154,183,2,0,0,1,0,0,0,1,no
10155,F,DE,19810,198,53,15,71,115,186,7,2,1,3,1,0,0,0,no
10156,F,NJ,07087,070,23,5,57,263,320,5,2,0,2,0,0,0,1,no
10157,F,NJ,08882,088,69,31,127,95,222,11,3,0,4,1,1,0,2,no
10158,M,CT,06759,067,19,13,28,114,142,2,0,1,0,0,0,1,0,yes
10159,M,NY,10452,104,17,9,25,226,251,2,0,0,2,0,0,0,0,yes
10160,F,NY,11360,113,1,1,15,187,202,1,0,0,0,0,1,0,0,no
10161,M,NY,11758,117,29,9,49,294,343,4,0,0,3,0,0,0,1,no
10162,F,NY,11206,112,11,11,15,293,308,1,0,0,0,0,0,0,1,no
10163,F,NH,03063,030,11,11,15,298,313,1,0,0,1,0,0,0,0,no
10164,F,NJ,08854,088,1,1,15,198,213,1,0,0,0,0,0,1,0,no
10165,F,MA,01237,012,7,3,28,230,258,2,0,1,0,0,0,1,0,no
10166,F,PA,15122,151,11,11,15,12,27,1,0,0,1,0,0,0,0,no
10167,M,NJ,08753,087,25,11,77,29,106,7,3,0,2,0,0,2,0,no
10168,F,NY,11354,113,13,13,15,41,56,1,0,0,1,0,0,0,0,no
10169,F,PA,15090,150,9,9,15,228,243,1,0,0,0,0,0,0,1,no
10170,F,PA,18704,187,13,9,25,32,57,2,0,0,2,0,0,0,0,no
10171,F,MD,21215,212,23,23,15,5,20,1,0,0,1,0,0,0,0,no
10172,F,PA,15068,150,15,15,15,195,210,1,1,0,0,0,0,0,0,no
10173,F,NY,11230,112,11,11,15,237,252,1,1,0,0,0,0,0,0,no
10174,F,NJ,08052,080,23,23,15,288,303,1,0,0,0,0,0,1,0,no
10175,F,MA,01824,018,5,3,29,23,52,2,1,0,0,0,0,0,1,no
10176,F,NY,11419,114,67,13,122,171,293,10,0,1,3,1,3,0,2,no
10177,F,PA,16701,167,57,9,136,158,294,12,5,1,4,0,0,0,2,no
10178,M,NY,11205,112,17,13,29,101,130,2,1,0,0,0,0,0,1,yes
10179,F,NY,13839,138,31,23,28,89,117,2,0,0,1,0,0,1,0,no
10180,F,NY,14220,142,5,5,15,293,308,1,0,0,0,0,0,1,0,yes
10181,F,NJ,07017,070,3,1,26,275,301,2,0,0,1,1,0,0,0,no
10182,F,PA,19390,193,21,15,29,4,33,2,0,0,0,1,0,0,1,no
10183,M,NY,11596,115,65,9,137,195,332,12,3,3,5,0,0,1,0,no
10184,F,PA,18072,180,21,21,15,107,122,1,1,0,0,0,0,0,0,no
10185,F,NJ,07901,079,25,1,102,239,341,9,1,3,3,0,1,0,1,no
10186,F,MA,02155,021,19,17,29,103,132,2,1,0,0,0,0,0,1,no
10187,F,MA,02154,021,27,5,73,289,362,6,0,1,1,0,1,2,1,yes
10188,F,NY,11803,118,39,31,29,190,219,2,0,0,1,0,0,0,1,no
10189,M,NY,12701,127,23,11,34,284,318,3,0,1,2,0,0,0,0,no
10190,F,NY,10463,104,9,9,15,184,199,1,0,0,0,1,0,0,0,no
10191,F,NY,11429,114,29,25,23,301,324,2,2,0,0,0,0,0,0,no
10192,M,NY,10016,100,17,1,50,283,333,4,1,0,1,0,0,1,1,no
10193,F,NJ,07067,070,3,3,15,48,63,1,0,0,0,1,0,0,0,no
10194,F,NY,11010,110,57,17,86,177,263,7,2,0,1,0,1,1,2,no
10195,F,MD,21229,212,37,35,29,117,146,2,0,0,1,0,0,0,1,no
10196,F,NJ,08817,088,17,9,28,223,251,2,1,0,0,0,0,1,0,yes
10197,F,NY,11727,117,13,7,29,46,75,2,0,0,1,0,0,0,1,no
10198,F,PA,18042,180,11,11,15,269,284,1,0,0,0,0,0,0,1,no
10199,F,NY,11429,114,57,13,97,74,171,8,1,0,1,2,1,1,2,no
10200,M,MD,20906,209,71,33,142,106,248,12,4,0,1,2,2,2,1,no
10201,F,NY,11207,112,1,1,15,42,57,1,0,0,0,0,0,0,1,no
10202,M,PA,19067,190,73,33,129,131,260,11,0,2,3,5,0,1,0,no
10203,F,NY,11367,113,53,3,113,67,180,10,2,0,5,1,1,0,1,no
10204,F,MD,21108,211,19,15,24,227,251,2,1,1,0,0,0,0,0,no
10205,F,NJ,07760,077,19,9,38,265,303,3,1,0,1,0,0,1,0,no
10206,M,ME,04107,041,69,11,123,259,382,11,2,0,5,2,1,1,0,no
10207,F,NJ,07305,073,1,1,15,299,314,1,0,0,1,0,0,0,0,no
10208,F,NJ,08080,080,31,25,29,3,32,2,1,0,0,0,0,0,1,no
10209,F,NY,10549,105,27,5,70,196,266,6,0,1,3,0,1,0,1,no
10210,M,NJ,07012,070,41,15,140,138,278,12,2,1,5,0,0,1,3,no
10211,F,MD,20639,206,15,15,15,234,249,1,1,0,0,0,0,0,0,yes
10212,F,NJ,08648,086,11,11,15,137,152,1,1,0,0,0,0,0,0,no
10213,F,NJ,07508,075,21,7,38,64,102,3,0,0,2,0,0,1,0,no
10214,M,PA,19460,194,23,23,15,162,177,1,0,0,0,0,0,1,0,no
10215,M,NJ,07726,077,9,9,15,199,214,1,1,0,0,0,0,0,0,no
10216,M,MD,21043,210,17,11,28,250,278,2,0,0,0,1,0,1,0,no
10217,M,NY,11434,114,25,21,27,137,164,2,0,0,1,0,1,0,0,no
10218,F,PA,15205,152,7,5,29,242,271,2,0,1,0,0,0,0,1,no
10219,F,MD,21234,212,15,15,15,24,39,1,0,1,0,0,0,0,0,no
10220,M,MA,01890,018,73,25,138,277,415,12,5,1,0,2,1,1,2,no
10221,F,MA,01960,019,17,13,27,96,123,2,1,0,0,0,1,0,0,no
10222,F,PA,19606,196,17,13,29,40,69,2,0,0,1,0,0,0,1,no
10223,F,MA,01236,012,49,13,117,194,311,9,0,0,2,1,0,0,6,yes
10224,F,NY,10301,103,11,11,15,18,33,1,0,1,0,0,0,0,0,no
10225,F,NJ,08332,083,15,15,15,157,172,1,0,0,0,0,1,0,0,no
10226,F,MA,02368,023,19,15,25,211,236,2,0,1,1,0,0,0,0,no
10227,F,NJ,08889,088,3,3,15,91,106,1,0,0,0,0,1,0,0,no
10228,M,PA,17055,170,25,3,97,318,415,9,1,3,2,2,0,0,1,no
10229,F,NY,11542,115,21,3,62,157,219,5,0,0,4,0,1,0,0,no
10230,M,PA,15238,152,11,7,26,154,180,2,0,1,0,1,0,0,0,yes
10231,M,CT,06226,062,33,29,28,199,227,2,1,0,0,0,0,1,0,yes
10232,F,NY,14218,142,9,5,29,237,266,2,1,0,0,0,0,0,1,no
10233,M,PA,15056,150,57,15,122,315,437,11,5,0,2,2,0,2,0,no
10234,F,NY,11365,113,9,9,15,173,188,1,1,0,0,0,0,0,0,no
10235,M,MD,21044,210,37,9,74,211,285,6,0,0,2,2,0,1,1,no
10236,M,PA,15108,151,33,5,105,203,308,9,0,2,3,0,2,0,2,no
10237,M,NJ,07010,070,35,31,25,137,162,2,0,0,2,0,0,0,0,no
10238,F,NY,14072,140,65,25,139,232,371,12,3,2,4,0,1,0,2,no
10239,F,MD,21042,210,1,1,15,29,44,1,0,0,1,0,0,0,0,yes
10240,F,CT,06488,064,23,23,15,100,115,1,0,0,0,0,0,1,0,no
10241,F,NY,11224,112,37,29,29,192,221,2,0,1,0,0,0,0,1,no
10242,M,PA,16648,166,53,33,83,157,240,8,3,2,2,0,0,0,1,no
10243,M,MA,02062,020,3,1,24,79,103,2,1,1,0,0,0,0,0,no
10244,M,PA,19355,193,21,1,93,256,349,8,2,0,1,0,1,3,1,yes
10245,M,NJ,07724,077,61,25,133,195,328,12,2,3,0,2,3,2,0,no
10246,M,NJ,07109,071,43,15,66,40,106,6,1,2,0,2,1,0,0,no
10247,F,NY,12538,125,15,15,15,152,167,1,0,1,0,0,0,0,0,no
10248,M,CT,06905,069,17,7,49,38,87,4,0,0,2,1,0,1,0,no
10249,F,PA,17057,170,13,5,25,254,279,2,1,0,1,0,0,0,0,no
10250,F,NJ,07481,074,15,15,15,81,96,1,0,0,0,0,0,1,0,no
10251,F,PA,19111,191,11,11,15,47,62,1,1,0,0,0,0,0,0,no
10252,F,MD,21234,212,21,21,15,116,131,1,0,0,1,0,0,0,0,no
10253,M,MA,02050,020,15,13,29,257,286,2,0,0,0,0,0,1,1,no
10254,F,MD,21144,211,19,19,15,168,183,1,1,0,0,0,0,0,0,no
10255,F,NJ,08831,088,9,5,29,117,146,2,0,0,0,0,1,0,1,no
10256,F,NJ,08882,088,35,31,25,108,133,2,1,0,1,0,0,0,0,no
10257,F,NY,11040,110,29,27,25,169,194,2,1,0,1,0,0,0,0,no
10258,M,PA,18471,184,35,27,29,151,180,2,0,0,1,0,0,0,1,no
10259,M,NY,11001,110,69,1,136,190,326,12,2,1,2,2,0,2,3,no
10260,M,NJ,08247,082,33,25,25,71,96,2,0,1,1,0,0,0,0,no
10261,F,PA,19128,191,27,5,57,113,170,5,1,0,3,0,0,0,1,no
10262,F,CT,06082,060,47,15,113,295,408,10,3,0,3,1,0,1,2,no
10263,M,NJ,07760,077,13,13,15,17,32,1,0,0,0,0,0,1,0,no
10264,F,NJ,07480,074,13,13,15,219,234,1,0,1,0,0,0,0,0,no
10265,F,PA,15101,151,65,11,117,235,352,11,5,1,3,1,0,1,0,no
10266,F,NJ,08033,080,31,11,91,228,319,8,2,1,1,1,2,0,1,no
10267,F,MD,21222,212,31,9,58,184,242,5,1,0,2,0,1,1,0,no
10268,M,MA,01886,018,11,5,26,270,296,2,1,0,0,1,0,0,0,no
10269,M,MD,21133,211,61,3,135,94,229,12,2,1,6,0,1,0,2,no
10270,F,NY,11703,117,11,3,29,235,264,2,0,0,1,0,0,0,1,no
10271,F,NJ,08733,087,55,1,117,69,186,10,2,1,1,2,1,1,2,yes
10272,M,NY,11710,117,35,11,124,336,460,11,3,0,2,3,1,0,2,no
10273,F,NY,11566,115,13,13,15,116,131,1,0,0,0,0,1,0,0,no
10274,F,NY,11797,117,13,13,15,297,312,1,0,0,1,0,0,0,0,no
10275,F,NJ,08043,080,9,5,23,55,78,2,2,0,0,0,0,0,0,no
10276,F,NJ,08865,088,57,13,104,92,196,9,1,1,2,1,2,1,1,no
10277,F,NJ,07730,077,43,15,79,144,223,7,2,1,1,1,0,2,0,no
10278,F,PA,19006,190,3,3,15,291,306,1,0,0,0,0,0,1,0,no
10279,F,PA,19320,193,21,15,26,22,48,2,0,0,0,2,0,0,0,no
10280,M,NJ,07110,071,37,29,34,260,294,3,1,0,0,1,0,0,1,no
10281,F,CT,06810,068,27,27,15,57,72,1,0,0,1,0,0,0,0,no
10282,M,NJ,08755,087,51,13,121,164,285,11,2,0,3,4,0,1,1,no
10283,F,NJ,07712,077,11,11,15,150,165,1,0,0,1,0,0,0,0,no
10284,F,MA,01834,018,39,3,79,186,265,7,1,1,1,2,0,2,0,no
10285,M,VT,05855,058,25,15,63,238,301,5,0,0,1,2,0,1,1,no
10286,M,NY,10304,103,5,5,15,69,84,1,0,0,0,0,1,0,0,yes
10287,M,MA,02720,027,25,21,23,123,146,2,2,0,0,0,0,0,0,no
10288,M,NY,10461,104,57,35,111,201,312,10,2,2,2,1,1,1,1,no
10289,F,NJ,07052,070,21,13,34,20,54,3,1,1,1,0,0,0,0,no
10290,F,NY,10710,107,17,9,23,173,196,2,2,0,0,0,0,0,0,no
10291,F,NY,10970,109,45,11,80,324,404,7,2,1,1,1,0,1,1,no
10292,F,NY,11357,113,15,11,28,282,310,2,1,0,0,0,0,1,0,no
10293,M,NJ,08751,087,33,1,145,98,243,12,3,0,4,1,1,1,2,no
10294,F,NJ,08071,080,23,15,28,296,324,2,0,0,0,1,0,1,0,no
10295,M,MA,02332,023,57,15,104,264,368,9,0,2,2,2,1,2,0,no
10296,M,NJ,07002,070,5,3,26,44,70,2,1,0,0,1,0,0,0,no
10297,F,MD,20769,207,13,11,26,250,276,2,1,0,0,1,0,0,0,no
10298,F,NJ,08037,080,43,11,90,69,159,8,1,1,3,1,0,1,1,no
10299,F,MA,02035,020,31,27,25,288,313,2,1,0,1,0,0,0,0,no
10300,F,PA,19609,196,23,23,15,121,136,1,0,0,0,0,1,0,0,no
10301,M,NY,10304,103,59,11,132,225,357,12,2,4,2,2,0,2,0,no
10302,M,PA,19116,191,11,11,15,132,147,1,0,1,0,0,0,0,0,no
10303,F,MD,21122,211,15,15,15,92,107,1,0,1,0,0,0,0,0,no
10304,F,PA,18103,181,71,7,127,245,372,11,3,1,1,1,1,2,2,no
10305,M,NY,10970,109,9,9,15,220,235,1,0,1,0,0,0,0,0,no
10306,M,PA,18103,181,53,21,114,151,265,10,2,0,3,3,1,0,1,no
10307,M,NY,11501,115,25,1,47,81,128,4,1,1,1,0,0,0,1,no
10308,F,NJ,08872,088,3,3,15,216,231,1,0,0,0,1,0,0,0,no
10309,F,NY,10954,109,5,1,26,168,194,2,0,0,1,1,0,0,0,no
10310,F,PA,17356,173,23,15,28,236,264,2,0,1,0,0,0,1,0,no
10311,F,DE,19804,198,17,3,35,225,260,3,1,0,0,1,1,0,0,no
10312,F,MA,02072,020,73,35,112,329,441,10,3,1,3,1,1,0,1,no
10313,M,MD,20815,208,13,11,26,7,33,2,0,1,0,1,0,0,0,no
10314,F,NY,11554,115,19,9,68,304,372,5,0,0,0,0,2,1,2,no
10315,F,PA,19072,190,21,21,15,48,63,1,0,0,0,0,0,0,1,no
10316,M,NY,11234,112,19,15,29,34,63,2,0,0,0,1,0,0,1,no
10317,F,NY,13903,139,15,9,29,4,33,2,0,0,1,0,0,0,1,no
10318,M,NY,13215,132,51,17,119,37,156,10,1,0,2,2,2,2,1,no
10319,M,NY,11210,112,9,3,26,19,45,2,0,0,1,1,0,0,0,no
10320,F,NY,11372,113,25,1,138,58,196,12,3,2,2,1,0,0,4,no
10321,F,NJ,07930,079,7,7,15,161,176,1,0,0,1,0,0,0,0,no
10322,F,NJ,08525,085,3,3,15,205,220,1,0,0,1,0,0,0,0,no
10323,M,NJ,07470,074,33,9,131,153,284,12,3,0,2,4,1,1,1,no
10324,F,NY,11412,114,5,5,15,259,274,1,0,0,0,1,0,0,0,no
10325,M,NJ,07940,079,31,15,64,252,316,6,3,1,0,1,0,1,0,no
10326,F,NJ,08558,085,17,11,29,230,259,2,0,0,0,0,1,0,1,no
10327,F,NY,12581,125,9,1,23,68,91,2,2,0,0,0,0,0,0,no
10328,F,NJ,08012,080,43,9,119,300,419,11,6,0,4,0,1,0,0,no
10329,F,MD,21219,212,15,15,15,298,313,1,1,0,0,0,0,0,0,no
10330,M,PA,18954,189,43,5,119,92,211,11,3,2,3,0,0,2,1,no
10331,F,CT,06351,063,13,13,15,220,235,1,0,1,0,0,0,0,0,no
10332,M,NY,14202,142,23,23,15,291,306,1,1,0,0,0,0,0,0,no
10333,F,NY,13041,130,33,29,25,255,280,2,0,1,1,0,0,0,0,no
10334,M,NY,11236,112,17,17,15,14,29,1,0,0,0,0,0,0,1,no
10335,F,NY,11354,113,15,9,29,59,88,2,0,0,1,0,0,0,1,no
